,Unnamed: 0,name,age,market_value,fee,loan,ATT,SKI,MOV,POW,MEN,DEF,GK,league_to_encoded,position_Attacking Midfield,position_Central Midfield,position_Centre-Back,position_Centre-Forward,position_Defensive Midfield,position_Goalkeeper,position_Left Midfield,position_Left Winger,position_Left-Back,position_Right Midfield,position_Right Winger,position_Right-Back,position_Second Striker
0,0,Erling Haaland,21,150.0,60.0,False,76.0,70.0,82.0,86.0,75.0,42.0,10.0,9,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1,Antony,22,35.0,95.0,False,54.0,63.0,66.0,51.0,49.0,42.0,11.0,9,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2,Wesley Fofana,21,40.0,80.4,False,50.0,54.0,69.0,62.0,62.0,80.0,11.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
6,5,Alexander Isak,22,30.0,70.0,False,71.0,78.0,92.0,72.0,68.0,49.0,13.0,9,0,0,0,1,0,0,0,0,0,0,0,0,0
8,6,Matthijs de Ligt,22,70.0,67.0,False,81.0,75.0,71.0,80.0,72.0,34.0,11.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10,7,Raheem Sterling,27,70.0,56.2,False,68.0,75.0,79.0,74.0,74.0,79.0,10.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
12,9,Romelu Lukaku,29,70.0,7.86,True,77.0,73.0,79.0,80.0,74.0,50.0,10.0,11,0,0,0,1,0,0,0,0,0,0,0,0,0
14,10,Marc Cucurella,24,28.0,65.3,False,60.0,57.0,73.0,66.0,63.0,86.0,9.0,9,0,0,0,0,0,0,0,0,1,0,0,0,0
16,11,Federico Chiesa,24,65.0,43.6,False,67.0,73.0,71.0,78.0,74.0,81.0,10.0,11,0,0,0,0,0,0,0,1,0,0,0,0,0
18,14,Richarlison,25,48.0,58.0,False,86.0,82.0,81.0,85.0,81.0,32.0,10.0,9,0,0,0,1,0,0,0,0,0,0,0,0,0
20,19,Cristian Romero,24,48.0,50.0,False,61.0,62.0,71.0,82.0,63.0,85.0,11.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
22,20,Kalvin Phillips,26,50.0,49.0,False,71.0,78.0,92.0,72.0,68.0,49.0,13.0,9,0,0,0,0,1,0,0,0,0,0,0,0,0
24,21,Carlos Soler,25,50.0,18.0,False,81.0,75.0,71.0,80.0,72.0,34.0,11.0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
26,22,Paul Pogba,29,48.0,0.0,False,68.0,75.0,79.0,74.0,74.0,79.0,10.0,11,0,1,0,0,0,0,0,0,0,0,0,0,0
28,23,Robert Lewandowski,33,45.0,45.0,False,73.0,77.0,87.0,76.0,67.0,51.0,7.0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
60,53,Amine Gouiri,22,42.0,28.0,False,56.0,68.0,84.0,74.0,70.0,74.0,7.0,7,0,0,0,0,0,0,0,1,0,0,0,0,0
61,57,Diego Carlos,29,40.0,31.0,False,73.0,69.0,87.0,73.0,65.0,50.0,12.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
62,59,Kalidou Koulibaly,31,35.0,38.0,False,76.0,63.0,64.0,68.0,61.0,44.0,11.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
63,60,Sven Botman,22,30.0,37.0,False,79.0,77.0,76.0,82.0,79.0,57.0,11.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
64,61,Charles De Ketelaere,21,30.0,36.5,False,67.0,76.0,79.0,64.0,61.0,48.0,12.0,11,1,0,0,0,0,0,0,0,0,0,0,0,0
65,64,Oleksandr Zinchenko,25,25.0,35.0,False,74.0,88.0,86.0,63.0,66.0,33.0,9.0,9,0,0,0,0,0,0,0,0,1,0,0,0,0
66,65,Amadou Onana,20,10.0,35.0,False,48.0,51.0,63.0,59.0,53.0,76.0,9.0,9,0,0,0,0,1,0,0,0,0,0,0,0,0
67,66,Nayef Aguerd,26,12.0,35.0,False,59.0,60.0,75.0,72.0,62.0,70.0,7.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
68,68,Karim Adeyemi,20,35.0,30.0,False,56.0,58.0,71.0,69.0,63.0,77.0,11.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
69,69,Yves Bissouma,25,35.0,29.2,False,66.0,70.0,68.0,70.0,74.0,81.0,11.0,9,0,1,0,0,0,0,0,0,0,0,0,0,0
70,70,Timo Werner,26,35.0,20.0,False,58.0,61.0,59.0,67.0,67.0,80.0,10.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
71,71,Ryan Gravenberch,20,35.0,18.5,False,71.0,64.0,66.0,74.0,66.0,29.0,9.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
72,72,Paulo Dybala,28,35.0,0.0,False,46.0,43.0,57.0,56.0,55.0,75.0,11.0,11,0,0,0,0,0,0,0,0,0,0,0,0,1
73,74,Andreas Christensen,26,35.0,0.0,False,73.0,71.0,81.0,79.0,70.0,67.0,12.0,5,0,0,1,0,0,0,0,0,0,0,0,0,0
74,75,Nico Schlotterbeck,22,33.0,20.0,False,70.0,57.0,76.0,78.0,62.0,25.0,9.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
75,76,Brenden Aaronson,21,25.0,32.84,False,68.0,65.0,79.0,71.0,67.0,72.0,10.0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
76,77,Steven Bergwijn,24,18.0,31.25,False,68.0,65.0,80.0,67.0,62.0,23.0,10.0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
77,78,Gianluca Scamacca,23,30.0,28.5,False,72.0,86.0,78.0,70.0,70.0,52.0,10.0,9,0,0,0,1,0,0,0,0,0,0,0,0,0
78,79,Manuel Akanji,27,30.0,20.0,False,68.0,61.0,69.0,79.0,55.0,25.0,11.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
79,85,Robin Gosens,27,28.0,27.4,False,69.0,75.0,80.0,73.0,73.0,79.0,8.0,11,0,0,0,0,0,0,1,0,0,0,0,0,0
80,86,Leander Dendoncker,27,28.0,15.0,False,72.0,64.0,76.0,79.0,70.0,33.0,11.0,9,0,0,0,0,1,0,0,0,0,0,0,0,0
81,88,Giacomo Raspadori,22,28.0,5.0,True,76.0,86.0,70.0,66.0,69.0,46.0,9.0,11,0,0,0,0,0,0,0,0,0,0,0,0,1
82,91,Mohamed Camara,22,27.0,15.0,False,64.0,64.0,79.0,68.0,55.0,33.0,11.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0
83,92,Xaver Schlager,24,27.0,12.0,False,46.0,50.0,73.0,66.0,60.0,79.0,11.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
84,93,Denis Zakaria,25,27.0,3.0,True,64.0,65.0,79.0,68.0,62.0,67.0,11.0,9,0,0,0,0,1,0,0,0,0,0,0,0,0
85,94,David Raum,24,20.0,26.0,False,58.0,62.0,63.0,53.0,61.0,51.0,11.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
86,95,Luis Sinisterra,23,25.0,25.0,False,67.0,76.0,74.0,69.0,65.0,52.0,12.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
87,96,Merih Demiral,24,25.0,21.0,False,62.0,64.0,72.0,64.0,60.0,72.0,11.0,11,0,0,1,0,0,0,0,0,0,0,0,0,0
88,98,Sasa Kalajdzic,25,25.0,18.0,False,71.0,72.0,82.0,66.0,68.0,55.0,12.0,9,0,0,0,1,0,0,0,0,0,0,0,0,0
89,102,Lucas Ocampos,28,25.0,4.0,True,67.0,60.0,61.0,72.0,71.0,83.0,9.0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
90,105,Conor Coady,29,25.0,0.0,True,65.0,67.0,86.0,71.0,66.0,44.0,10.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
91,106,Boubacar Kamara,22,25.0,0.0,False,52.0,48.0,59.0,61.0,60.0,78.0,9.0,9,0,0,0,0,1,0,0,0,0,0,0,0,0
92,108,Lorenzo Insigne,31,25.0,0.0,False,56.0,62.0,81.0,67.0,70.0,73.0,9.0,8,0,0,0,0,0,0,0,1,0,0,0,0,0
93,109,Nathan Collins,21,10.0,24.3,False,49.0,53.0,58.0,63.0,58.0,78.0,9.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
94,111,Calvin Bassey,22,10.0,23.0,False,63.0,61.0,83.0,74.0,64.0,79.0,9.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
95,114,Sofiane Diop,22,20.0,22.0,False,72.0,70.0,76.0,79.0,65.0,39.0,12.0,7,0,0,0,0,0,0,0,1,0,0,0,0,0
96,116,Thilo Kehrer,25,22.0,12.0,False,72.0,70.0,76.0,79.0,65.0,39.0,12.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
97,118,Julian Weigl,26,22.0,0.0,True,57.0,50.0,71.0,74.0,61.0,80.0,11.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
98,119,James Tarkowski,29,22.0,0.0,False,71.0,72.0,70.0,77.0,60.0,24.0,10.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
99,120,Mauro Icardi,29,22.0,0.0,True,48.0,53.0,64.0,67.0,58.0,82.0,10.0,14,0,0,0,1,0,0,0,0,0,0,0,0,0
100,121,Jan Bednarek,26,22.0,0.0,True,64.0,65.0,79.0,68.0,62.0,67.0,11.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
101,122,Giovani Lo Celso,26,22.0,0.0,True,71.0,66.0,80.0,75.0,64.0,25.0,11.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
102,124,Maxwel Cornet,25,15.0,20.7,False,51.0,54.0,60.0,61.0,57.0,72.0,9.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
103,125,Taiwo Awoniyi,24,20.0,20.5,False,49.0,53.0,59.0,67.0,66.0,79.0,9.0,9,0,0,0,1,0,0,0,0,0,0,0,0,0
104,127,Nahuel Molina,24,20.0,20.0,False,71.0,70.0,72.0,70.0,71.0,71.0,10.0,5,0,0,0,0,0,0,0,0,0,0,0,1,0
105,128,Arnaud Kalimuendo,20,18.0,20.0,False,75.0,75.0,64.0,72.0,67.0,34.0,12.0,7,0,0,0,1,0,0,0,0,0,0,0,0,0
106,129,Philippe Coutinho,30,20.0,20.0,False,68.0,70.0,75.0,70.0,58.0,32.0,10.0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
107,130,Umar Sadiq,25,18.0,20.0,False,77.0,74.0,68.0,72.0,74.0,63.0,8.0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
108,131,Neco Williams,21,8.0,20.0,False,51.0,54.0,67.0,57.0,60.0,80.0,11.0,9,0,0,0,0,0,0,0,0,0,0,0,1,0
109,134,David Neres,25,20.0,15.3,False,44.0,47.0,60.0,51.0,43.0,21.0,10.0,6,0,0,0,0,0,0,0,0,0,0,1,0,0
110,136,Adam Hlozek,19,20.0,13.0,False,66.0,74.0,78.0,67.0,63.0,38.0,11.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
111,137,Nordi Mukiele,24,20.0,12.0,False,69.0,68.0,75.0,79.0,71.0,73.0,9.0,7,0,0,0,0,0,0,0,0,0,0,0,1,0
112,138,Remo Freuler,30,20.0,9.0,False,63.0,59.0,73.0,63.0,52.0,22.0,7.0,9,0,1,0,0,0,0,0,0,0,0,0,0,0
113,139,Lucas Torreira,26,20.0,6.0,False,57.0,71.0,75.0,70.0,68.0,72.0,7.0,14,0,0,0,0,1,0,0,0,0,0,0,0,0
114,142,Andrea Belotti,28,20.0,0.0,False,16.0,23.0,50.0,51.0,34.0,14.0,80.0,11,0,0,0,1,0,0,0,0,0,0,0,0,0
115,143,Noussair Mazraoui,24,20.0,0.0,False,59.0,73.0,74.0,72.0,68.0,64.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
116,145,Christian Eriksen,30,20.0,0.0,False,46.0,46.0,62.0,70.0,53.0,76.0,9.0,9,0,1,0,0,0,0,0,0,0,0,0,0,0
117,147,Andrea Pinamonti,23,20.0,0.0,True,57.0,66.0,80.0,56.0,53.0,22.0,11.0,11,0,0,0,1,0,0,0,0,0,0,0,0,0
118,148,Arthur Theate,22,15.0,19.0,False,61.0,75.0,70.0,62.0,71.0,71.0,11.0,7,0,0,1,0,0,0,0,0,0,0,0,0,0
120,152,Destiny Udogie,19,17.0,18.0,False,71.0,67.0,85.0,77.0,56.0,37.0,11.0,9,0,0,0,0,0,0,0,0,1,0,0,0,0
123,153,Carney Chukwuemeka,18,6.0,18.0,False,50.0,54.0,79.0,60.0,52.0,68.0,9.0,9,0,1,0,0,0,0,0,0,0,0,0,0,0
124,154,Dwight McNeil,22,18.0,17.0,False,67.0,68.0,82.0,66.0,58.0,32.0,13.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
125,156,Aaron Hickey,20,18.0,14.25,False,69.0,63.0,67.0,68.0,58.0,20.0,12.0,9,0,0,0,0,0,0,0,0,0,0,0,1,0
126,158,Neal Maupay,26,18.0,11.8,False,73.0,57.0,61.0,81.0,70.0,48.0,12.0,9,0,0,0,1,0,0,0,0,0,0,0,0,0
127,160,Mattia Zaccagni,27,18.0,7.1,False,67.0,69.0,67.0,76.0,71.0,77.0,9.0,11,0,0,0,0,0,0,0,1,0,0,0,0,0
128,163,Julian Draxler,28,18.0,2.5,True,46.0,43.0,64.0,60.0,52.0,73.0,11.0,6,0,0,0,0,0,0,0,1,0,0,0,0,0
129,164,Abdou Diallo,26,18.0,1.5,True,62.0,69.0,73.0,63.0,56.0,33.0,9.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
130,166,Georginio Wijnaldum,31,18.0,0.0,True,58.0,70.0,59.0,65.0,71.0,72.0,10.0,11,0,1,0,0,0,0,0,0,0,0,0,0,0
131,167,Matthias Ginter,28,18.0,0.0,False,53.0,62.0,74.0,66.0,62.0,68.0,11.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
132,170,Jesse Lingard,29,18.0,0.0,False,62.0,68.0,78.0,57.0,57.0,25.0,10.0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
133,171,Dean Henderson,25,18.0,0.0,True,65.0,70.0,82.0,65.0,70.0,74.0,10.0,9,0,0,0,0,0,1,0,0,0,0,0,0,0
134,172,Daniel James,24,18.0,0.0,True,70.0,70.0,64.0,77.0,73.0,72.0,11.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
135,174,Issa Diop,25,10.0,17.8,False,60.0,66.0,70.0,55.0,68.0,68.0,10.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
136,175,Matt Targett,26,17.0,17.5,False,69.0,74.0,71.0,72.0,71.0,69.0,12.0,9,0,0,0,0,0,0,0,0,1,0,0,0,0
137,176,Tyler Adams,23,17.0,17.0,False,61.0,71.0,75.0,78.0,74.0,84.0,9.0,9,0,0,0,0,1,0,0,0,0,0,0,0,0
138,177,Wout Faes,24,10.0,17.0,False,71.0,65.0,63.0,77.0,66.0,29.0,3.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
139,178,Roman Yaremchuk,26,15.0,17.0,False,70.0,63.0,75.0,76.0,62.0,20.0,12.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
140,179,Tyrell Malacia,22,17.0,15.0,False,69.0,57.0,70.0,74.0,61.0,30.0,11.0,9,0,0,0,0,0,0,0,0,1,0,0,0,0
141,180,Marcos Senesi,25,17.0,15.0,False,72.0,63.0,73.0,74.0,64.0,19.0,14.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
142,181,Jordan Veretout,29,17.0,12.45,False,79.0,81.0,62.0,77.0,74.0,77.0,10.0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
143,182,Giovanni Simeone,26,17.0,10.5,False,68.0,80.0,78.0,66.0,61.0,25.0,11.0,11,0,0,0,1,0,0,0,0,0,0,0,0,0
150,185,Leandro Paredes,28,17.0,2.5,True,43.0,41.0,69.0,58.0,51.0,73.0,10.0,11,0,0,0,0,1,0,0,0,0,0,0,0,0
151,187,Chancel Mbemba,27,17.0,0.0,False,63.0,73.0,75.0,65.0,66.0,60.0,9.0,7,0,0,1,0,0,0,0,0,0,0,0,0,0
152,188,Kasper Dolberg,24,17.0,0.0,True,70.0,69.0,74.0,79.0,73.0,72.0,10.0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
153,189,Alessio Romagnoli,27,17.0,0.0,False,55.0,62.0,70.0,65.0,64.0,68.0,11.0,11,0,0,1,0,0,0,0,0,0,0,0,0,0
157,193,Brian Brobbey,20,9.0,16.35,False,67.0,71.0,83.0,75.0,70.0,57.0,10.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
158,195,Tanguy Nianzou,20,9.0,16.0,False,65.0,67.0,83.0,67.0,63.0,25.0,11.0,5,0,0,1,0,0,0,0,0,0,0,0,0,0
159,198,Arkadiusz Milik,28,16.0,8.0,False,67.0,71.0,78.0,75.0,71.0,69.0,10.0,7,0,0,0,1,0,0,0,0,0,0,0,0,0
161,199,Matteo Pessina,25,16.0,3.2,True,46.0,51.0,65.0,61.0,60.0,72.0,9.0,11,0,1,0,0,0,0,0,0,0,0,0,0,0
164,201,Randal Kolo Muani,23,16.0,0.0,False,60.0,69.0,67.0,66.0,66.0,69.0,8.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
165,202,Dele Alli,26,16.0,0.0,True,61.0,62.0,80.0,66.0,55.0,26.0,11.0,14,1,0,0,0,0,0,0,0,0,0,0,0,0
166,203,Luiz Felipe,25,16.0,0.0,False,74.0,64.0,72.0,73.0,61.0,38.0,11.0,5,0,0,1,0,0,0,0,0,0,0,0,0,0
167,208,Emerson Palmieri,28,14.0,15.4,False,17.0,16.0,47.0,49.0,33.0,14.0,79.0,9,0,0,0,0,0,0,0,0,1,0,0,0,0
168,209,Takumi Minamino,27,12.0,15.0,False,46.0,38.0,65.0,56.0,54.0,79.0,7.0,7,0,0,0,0,0,0,0,1,0,0,0,0,0
169,210,Beto,24,10.0,15.0,False,71.0,70.0,68.0,75.0,67.0,35.0,10.0,11,0,0,0,1,0,0,0,0,0,0,0,0,0
170,211,Mikkel Damsgaard,22,15.0,15.0,False,81.0,79.0,79.0,83.0,77.0,73.0,8.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
171,213,Khvicha Kvaratskhelia,21,15.0,13.3,False,59.0,66.0,76.0,70.0,70.0,73.0,11.0,11,0,0,0,0,0,0,0,1,0,0,0,0,0
172,214,Rasmus Kristensen,24,15.0,13.0,False,62.0,70.0,76.0,53.0,58.0,38.0,11.0,9,0,0,0,0,0,0,0,0,0,0,0,1,0
173,216,Orel Mangala,24,15.0,13.0,False,66.0,72.0,65.0,78.0,67.0,64.0,13.0,9,0,1,0,0,0,0,0,0,0,0,0,0,0
174,217,Breel Embolo,25,15.0,12.5,False,70.0,60.0,66.0,76.0,59.0,22.0,10.0,7,0,0,0,1,0,0,0,0,0,0,0,0,0
175,219,Nick Pope,30,15.0,11.5,False,40.0,41.0,58.0,54.0,49.0,68.0,12.0,9,0,0,0,0,0,1,0,0,0,0,0,0,0
176,220,Mattias Svanberg,23,15.0,9.5,False,59.0,61.0,75.0,71.0,66.0,71.0,10.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
177,221,Jonathan Clauss,29,15.0,7.5,False,23.0,21.0,60.0,52.0,34.0,14.0,80.0,7,0,0,0,0,0,0,0,0,0,0,0,1,0
180,223,Konstantinos Mavropanos,24,15.0,3.2,False,13.0,15.0,44.0,40.0,28.0,12.0,65.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
181,226,Amad Diallo,20,15.0,0.0,True,71.0,59.0,60.0,77.0,64.0,27.0,10.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
182,227,Harry Winks,26,15.0,0.0,True,67.0,58.0,65.0,77.0,62.0,25.0,10.0,11,0,0,0,0,1,0,0,0,0,0,0,0,0
183,228,Alexandre Lacazette,31,15.0,0.0,False,58.0,63.0,77.0,71.0,67.0,73.0,10.0,7,0,0,0,1,0,0,0,0,0,0,0,0,0
184,229,Corentin Tolisso,27,15.0,0.0,False,18.0,23.0,56.0,51.0,34.0,20.0,79.0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
185,230,Justin Kluivert,23,15.0,0.0,True,61.0,60.0,68.0,76.0,67.0,73.0,9.0,5,0,0,0,0,0,0,0,1,0,0,0,0,0
186,231,Emmanuel Dennis,24,14.0,14.8,False,73.0,71.0,70.0,70.0,64.0,28.0,11.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
187,232,Djed Spence,21,8.0,14.7,False,15.0,18.0,36.0,39.0,22.0,10.0,77.0,9,0,0,0,0,0,0,0,0,0,0,0,1,0
188,233,Diego Rossi,24,14.5,5.5,False,67.0,72.0,69.0,76.0,70.0,69.0,10.0,14,0,0,0,0,0,0,0,1,0,0,0,0,0
189,234,Gavin Bazunu,20,5.0,14.0,False,61.0,60.0,68.0,67.0,55.0,29.0,11.0,9,0,0,0,0,0,1,0,0,0,0,0,0,0
190,235,Mohamed Bayo,24,12.0,14.0,False,64.0,64.0,76.0,61.0,63.0,73.0,7.0,7,0,0,0,1,0,0,0,0,0,0,0,0,0
191,237,Sebastian Szymanski,23,14.0,2.0,True,18.0,19.0,48.0,38.0,30.0,17.0,72.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
192,238,Wout Weghorst,29,14.0,0.0,True,59.0,64.0,67.0,68.0,63.0,64.0,12.0,14,0,0,0,1,0,0,0,0,0,0,0,0,0
193,240,Kayky,19,14.0,0.0,True,64.0,74.0,83.0,64.0,61.0,39.0,9.0,6,0,0,0,0,0,0,0,0,0,0,1,0,0
194,241,Yangel Herrera,24,14.0,0.0,True,55.0,57.0,76.0,55.0,59.0,72.0,11.0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
195,242,Jason Denayer,27,14.0,0.0,False,60.0,67.0,72.0,69.0,72.0,73.0,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
196,243,Fredrik Aursnes,26,12.0,13.0,False,62.0,67.0,78.0,68.0,59.0,41.0,9.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0
197,245,Mattia Viti,20,7.0,13.0,False,62.0,62.0,75.0,63.0,55.0,35.0,10.0,7,0,0,1,0,0,0,0,0,0,0,0,0,0
198,248,Calvin Stengs,23,13.0,0.0,True,45.0,50.0,65.0,52.0,54.0,70.0,9.0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
199,249,Ethan Ampadu,21,13.0,0.0,True,73.0,58.0,70.0,76.0,66.0,23.0,12.0,11,0,0,0,0,1,0,0,0,0,0,0,0,0
200,252,Marc Roca,25,7.0,12.0,False,64.0,71.0,80.0,73.0,61.0,37.0,10.0,9,0,0,0,0,1,0,0,0,0,0,0,0,0
201,253,Alexis Beka Beka,21,3.0,12.0,False,71.0,72.0,78.0,74.0,65.0,30.0,11.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0
202,254,Stanley Nsoki,23,7.0,12.0,False,72.0,80.0,77.0,63.0,73.0,56.0,10.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
203,255,Chris Richards,22,7.5,12.0,False,63.0,70.0,74.0,71.0,65.0,57.0,12.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
204,259,Gabriel Veron,19,12.0,10.34,False,71.0,74.0,81.0,73.0,64.0,20.0,12.0,6,0,0,0,0,0,0,0,0,0,0,1,0,0
205,261,Owen Wijndal,22,12.0,10.0,False,62.0,67.0,78.0,68.0,59.0,41.0,9.0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
206,262,Marko Grujic,26,12.0,9.0,False,68.0,66.0,79.0,64.0,62.0,34.0,11.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0
207,263,Samuele Ricci,20,12.0,8.5,False,58.0,63.0,76.0,66.0,61.0,61.0,9.0,11,0,0,0,0,1,0,0,0,0,0,0,0,0
208,264,Billy Gilmour,21,12.0,8.3,False,65.0,62.0,73.0,68.0,62.0,32.0,11.0,9,0,0,0,0,1,0,0,0,0,0,0,0,0
209,265,Angelo Fulgini,25,12.0,6.0,False,53.0,57.0,61.0,63.0,64.0,73.0,9.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
210,268,Idrissa Gueye,32,12.0,4.0,False,78.0,75.0,79.0,71.0,64.0,30.0,11.0,9,0,1,0,0,0,0,0,0,0,0,0,0,0
